sample_name,source_name,Strain,sex,age
DGRP_Line_505_Female_SAMN09738803,DGRP Line 505 Female,DGRP_505,female,3-5 days old
DGRP_Line_505_Male_SAMN09738801,DGRP Line 505 Male,DGRP_505,male,3-5 days old
DGRP_Line_505_Male_SAMN09738800,DGRP Line 505 Male,DGRP_505,male,3-5 days old
DGRP_Line_508_Female_SAMN09738798,DGRP Line 508 Female,DGRP_508,female,3-5 days old
DGRP_Line_508_Male_SAMN09738796,DGRP Line 508 Male,DGRP_508,male,3-5 days old
DGRP_Line_509_Female_SAMN09738794,DGRP Line 509 Female,DGRP_509,female,3-5 days old
DGRP_Line_509_Male_SAMN09738792,DGRP Line 509 Male,DGRP_509,male,3-5 days old
DGRP_Line_513_Male_SAMN09738833,DGRP Line 513 Male,DGRP_513,male,3-5 days old
DGRP_Line_517_Male_SAMN09738829,DGRP Line 517 Male,DGRP_517,male,3-5 days old
DGRP_Line_528_Female_SAMN09738827,DGRP Line 528 Female,DGRP_528,female,3-5 days old
DGRP_Line_531_Male_SAMN09738816,DGRP Line 531 Male,DGRP_531,male,3-5 days old
DGRP_Line_535_Male_SAMN09738863,DGRP Line 535 Male,DGRP_535,male,3-5 days old
DGRP_Line_551_Female_SAMN09738859,DGRP Line 551 Female,DGRP_551,female,3-5 days old
DGRP_Line_555_Male_SAMN09738855,DGRP Line 555 Male,DGRP_555,male,3-5 days old
DGRP_Line_559_Male_SAMN09738851,DGRP Line 559 Male,DGRP_559,male,3-5 days old
DGRP_Line_563_Female_SAMN09738849,DGRP Line 563 Female,DGRP_563,female,3-5 days old
DGRP_Line_566_Male_SAMN09738842,DGRP Line 566 Male,DGRP_566,male,3-5 days old
DGRP_Line_57_Male_SAMN09738838,DGRP Line 57 Male,DGRP_57,male,3-5 days old
DGRP_Line_589_Female_SAMN09738912,DGRP Line 589 Female,DGRP_589,female,3-5 days old
DGRP_Line_59_Female_SAMN09738908,DGRP Line 59 Female,DGRP_59,female,3-5 days old
DGRP_Line_59_Male_SAMN09738905,DGRP Line 59 Male,DGRP_59,male,3-5 days old
